587 ms; 3 id; Start writing 8
595 ms; 3 id; Stop writing
595 ms; 4 id; Start writing 5
600 ms; 4 id; Stop writing
600 ms; 2 id; Start reading 4
600 ms; 3 id; Start reading 8
600 ms; 4 id; Start reading 7
604 ms; 2 id; Stop reading
604 ms; 2 id; Start reading 4
607 ms; 4 id; Stop reading
607 ms; 4 id; Start reading 5
608 ms; 2 id; Stop reading
608 ms; 3 id; Stop reading
608 ms; 2 id; Start reading 9
608 ms; 3 id; Start reading 9
612 ms; 4 id; Stop reading
612 ms; 4 id; Start reading 4
616 ms; 4 id; Stop reading
616 ms; 4 id; Start reading 6
617 ms; 2 id; Stop reading
617 ms; 3 id; Stop reading
622 ms; 4 id; Stop reading
622 ms; 2 id; Start writing 1
623 ms; 2 id; Stop writing
623 ms; 3 id; Start writing 7
630 ms; 3 id; Stop writing
630 ms; 4 id; Start reading 2
630 ms; 2 id; Start reading 9
630 ms; 3 id; Start reading 1
631 ms; 3 id; Stop reading
631 ms; 3 id; Start reading 5
632 ms; 4 id; Stop reading
632 ms; 4 id; Start reading 6
636 ms; 3 id; Stop reading
636 ms; 3 id; Start reading 8
638 ms; 4 id; Stop reading
638 ms; 4 id; Start reading 4
639 ms; 2 id; Stop reading
639 ms; 2 id; Start reading 10
642 ms; 4 id; Stop reading
642 ms; 4 id; Start reading 9
644 ms; 3 id; Stop reading
644 ms; 3 id; Start reading 5
649 ms; 3 id; Stop reading
649 ms; 2 id; Stop reading
649 ms; 3 id; Start reading 8
649 ms; 2 id; Start reading 8
651 ms; 4 id; Stop reading
651 ms; 4 id; Start reading 4
655 ms; 4 id; Stop reading
655 ms; 4 id; Start reading 2
657 ms; 4 id; Stop reading
657 ms; 3 id; Stop reading
657 ms; 2 id; Stop reading
657 ms; 4 id; Start writing 8
665 ms; 4 id; Stop writing
665 ms; 3 id; Start reading 8
665 ms; 2 id; Start reading 1
665 ms; 4 id; Start reading 8
666 ms; 2 id; Stop reading
666 ms; 2 id; Start reading 4
670 ms; 2 id; Stop reading
670 ms; 2 id; Start reading 10
673 ms; 4 id; Stop reading
673 ms; 3 id; Stop reading
673 ms; 4 id; Start reading 1
673 ms; 3 id; Start reading 1
674 ms; 4 id; Stop reading
674 ms; 3 id; Stop reading
674 ms; 4 id; Start reading 9
674 ms; 3 id; Start reading 10
680 ms; 2 id; Stop reading
680 ms; 2 id; Start reading 9
683 ms; 4 id; Stop reading
683 ms; 4 id; Start reading 6
684 ms; 3 id; Stop reading
684 ms; 3 id; Start reading 8
689 ms; 4 id; Stop reading
689 ms; 4 id; Start reading 8
689 ms; 2 id; Stop reading
689 ms; 2 id; Start reading 4
692 ms; 3 id; Stop reading
692 ms; 3 id; Start reading 5
693 ms; 2 id; Stop reading
697 ms; 3 id; Stop reading
697 ms; 4 id; Stop reading
697 ms; 2 id; Start writing 3
700 ms; 2 id; Stop writing
700 ms; 3 id; Start reading 7
700 ms; 4 id; Start reading 2
700 ms; 2 id; Start reading 6
702 ms; 4 id; Stop reading
702 ms; 4 id; Start reading 5
706 ms; 2 id; Stop reading
706 ms; 2 id; Start reading 3
707 ms; 3 id; Stop reading
707 ms; 4 id; Stop reading
707 ms; 3 id; Start reading 1
707 ms; 4 id; Start reading 3
708 ms; 3 id; Stop reading
708 ms; 3 id; Start reading 2
709 ms; 2 id; Stop reading
709 ms; 2 id; Start reading 7
710 ms; 3 id; Stop reading
710 ms; 4 id; Stop reading
710 ms; 3 id; Start reading 2
712 ms; 3 id; Stop reading
716 ms; 2 id; Stop reading
716 ms; 4 id; Start writing 6
722 ms; 4 id; Stop writing
722 ms; 3 id; Start reading 9
722 ms; 2 id; Start reading 4
722 ms; 4 id; Start reading 2
724 ms; 4 id; Stop reading
724 ms; 4 id; Start reading 7
726 ms; 2 id; Stop reading
726 ms; 2 id; Start reading 8
731 ms; 3 id; Stop reading
731 ms; 4 id; Stop reading
731 ms; 3 id; Start reading 4
731 ms; 4 id; Start reading 3
734 ms; 2 id; Stop reading
734 ms; 2 id; Start reading 6
734 ms; 4 id; Stop reading
734 ms; 4 id; Start reading 7
735 ms; 3 id; Stop reading
735 ms; 3 id; Start reading 9
740 ms; 2 id; Stop reading
740 ms; 2 id; Start reading 3
741 ms; 4 id; Stop reading
741 ms; 4 id; Start reading 8
743 ms; 2 id; Stop reading
743 ms; 2 id; Start reading 7
744 ms; 3 id; Stop reading
744 ms; 3 id; Start reading 3
747 ms; 3 id; Stop reading
747 ms; 3 id; Start reading 8
749 ms; 4 id; Stop reading
749 ms; 4 id; Start reading 2
750 ms; 2 id; Stop reading
750 ms; 2 id; Start reading 8
751 ms; 4 id; Stop reading
751 ms; 4 id; Start reading 3
754 ms; 4 id; Stop reading
754 ms; 4 id; Start reading 8
755 ms; 3 id; Stop reading
755 ms; 3 id; Start reading 3
758 ms; 2 id; Stop reading
758 ms; 2 id; Start reading 6
758 ms; 3 id; Stop reading
758 ms; 3 id; Start reading 2
760 ms; 3 id; Stop reading
760 ms; 3 id; Start reading 6
762 ms; 4 id; Stop reading
762 ms; 4 id; Start reading 6
764 ms; 2 id; Stop reading
764 ms; 2 id; Start reading 7
766 ms; 3 id; Stop reading
766 ms; 3 id; Start reading 2
768 ms; 3 id; Stop reading
768 ms; 4 id; Stop reading
768 ms; 3 id; Start reading 8
768 ms; 4 id; Start reading 4
771 ms; 2 id; Stop reading
772 ms; 4 id; Stop reading
776 ms; 3 id; Stop reading
776 ms; 2 id; Start writing 10
786 ms; 2 id; Stop writing
786 ms; 4 id; Start reading 7
786 ms; 3 id; Start reading 10
793 ms; 4 id; Stop reading
796 ms; 3 id; Stop reading
796 ms; 2 id; Start writing 1
797 ms; 2 id; Stop writing
797 ms; 4 id; Start reading 9
797 ms; 3 id; Start reading 6
797 ms; 2 id; Start reading 9
803 ms; 3 id; Stop reading
803 ms; 3 id; Start reading 9
806 ms; 4 id; Stop reading
806 ms; 2 id; Stop reading
806 ms; 4 id; Start reading 9
812 ms; 3 id; Stop reading
815 ms; 4 id; Stop reading
815 ms; 2 id; Start writing 5
820 ms; 2 id; Stop writing
820 ms; 3 id; Start reading 1
820 ms; 4 id; Start reading 7
820 ms; 2 id; Start reading 4
821 ms; 3 id; Stop reading
821 ms; 3 id; Start reading 10
824 ms; 2 id; Stop reading
824 ms; 2 id; Start reading 10
827 ms; 4 id; Stop reading
827 ms; 4 id; Start reading 4
831 ms; 3 id; Stop reading
831 ms; 3 id; Start reading 6
831 ms; 4 id; Stop reading
831 ms; 4 id; Start reading 1
832 ms; 4 id; Stop reading
832 ms; 4 id; Start reading 4
834 ms; 2 id; Stop reading
834 ms; 2 id; Start reading 6
836 ms; 4 id; Stop reading
836 ms; 4 id; Start reading 7
837 ms; 3 id; Stop reading
837 ms; 3 id; Start reading 7
840 ms; 2 id; Stop reading
840 ms; 2 id; Start reading 4
843 ms; 4 id; Stop reading
843 ms; 4 id; Start reading 7
844 ms; 2 id; Stop reading
844 ms; 2 id; Start reading 10
844 ms; 3 id; Stop reading
844 ms; 3 id; Start reading 2
846 ms; 3 id; Stop reading
846 ms; 3 id; Start reading 1
847 ms; 3 id; Stop reading
850 ms; 4 id; Stop reading
854 ms; 2 id; Stop reading
854 ms; 3 id; Start writing 3
857 ms; 3 id; Stop writing
857 ms; 4 id; Start writing 9
866 ms; 4 id; Stop writing
866 ms; 2 id; Start reading 8
866 ms; 3 id; Start reading 6
872 ms; 3 id; Stop reading
874 ms; 2 id; Stop reading
874 ms; 4 id; Start writing 5
879 ms; 4 id; Stop writing
879 ms; 3 id; Start reading 6
879 ms; 2 id; Start reading 2
879 ms; 4 id; Start reading 7
881 ms; 2 id; Stop reading
881 ms; 2 id; Start reading 10
885 ms; 3 id; Stop reading
885 ms; 3 id; Start reading 10
886 ms; 4 id; Stop reading
886 ms; 4 id; Start reading 3
889 ms; 4 id; Stop reading
889 ms; 4 id; Start reading 7
891 ms; 2 id; Stop reading
891 ms; 2 id; Start reading 9
895 ms; 3 id; Stop reading
895 ms; 3 id; Start reading 2
896 ms; 4 id; Stop reading
896 ms; 4 id; Start reading 8
897 ms; 3 id; Stop reading
897 ms; 3 id; Start reading 1
898 ms; 3 id; Stop reading
898 ms; 3 id; Start reading 7
900 ms; 2 id; Stop reading
900 ms; 2 id; Start reading 9
904 ms; 4 id; Stop reading
904 ms; 4 id; Start reading 2
905 ms; 3 id; Stop reading
906 ms; 4 id; Stop reading
909 ms; 2 id; Stop reading
909 ms; 3 id; Start writing 7
916 ms; 3 id; Stop writing
916 ms; 4 id; Start reading 3
916 ms; 2 id; Start reading 5
916 ms; 3 id; Start reading 8
919 ms; 4 id; Stop reading
919 ms; 4 id; Start reading 1
920 ms; 4 id; Stop reading
920 ms; 4 id; Start reading 2
921 ms; 2 id; Stop reading
922 ms; 4 id; Stop reading
924 ms; 3 id; Stop reading
924 ms; 2 id; Start writing 2
926 ms; 2 id; Stop writing
926 ms; 4 id; Start reading 4
926 ms; 3 id; Start reading 10
926 ms; 2 id; Start reading 1
927 ms; 2 id; Stop reading
927 ms; 2 id; Start reading 6
930 ms; 4 id; Stop reading
930 ms; 4 id; Start reading 10
